AGE,EDUC,MARRIED,CHECKING
19,9,2,520
19,9,2,140
19,9,2,60
19,9,2,50
19,9,2,230
23,9,2,300
21,9,2,2500
21,9,2,2900
21,9,2,2300
21,9,2,2400
25,10,2,310
25,10,2,320
25,10,2,290
23,9,2,700
21,9,2,1200
21,9,2,1500
22,10,2,2400
22,10,2,1000
22,10,2,2200
22,10,2,1300
22,10,2,1400
23,9,2,150
23,9,2,160
25,10,2,20
25,10,2,40
25,10,2,10
25,10,2,30
22,9,2,710
22,9,2,790
22,9,2,500
22,9,2,610
22,9,2,400
20,10,2,900
24,9,2,500
25,9,2,160
24,10,2,1800
23,9,2,0
19,9,2,1000
21,9,2,700
19,9,2,0
23,10,2,16000
21,9,2,0
22,9,2,2000
22,11,2,0
24,9,2,1400
19,9,2,200
21,9,2,1000
21,9,2,900
23,9,2,5000
23,9,2,10
22,9,2,4000
22,11,2,1000
23,11,2,2000
